Bureau of Justice Statistics,,,,,,,,,,
Filename: capd0912stt03,,,,,,,,,,
"Table 3. Age-adjusted and unadjusted rates of violent victimization for persons with disabilities, by type of crime, 2009–2012",,,,,,,,,,
"Report title: Crime Against Persons with Disabilities, 2009-2012-Statistical Tables",,,,,,,,,,
Data source: BJS National Crime Victimization Survey and U.S. Census Bureau 2000 Standard Population and American Community Survey,,,,,,,,,,
Authors: Erika Harrell ,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of release: 02/25/14,,,,,,,,,,
 ,,,,,,,,,,
"Table 3. Age-adjusted and unadjusted rates of violent victimization for persons with disabilities, by type of crime, 2009–2012",,,,,,,,,,
,,"Rates per 1,000 persons with disabilities",,,,,,,,
,,Age-adjusted,,,,,Unadjusted,,,
Type of crime,,2009,2010,2011,2012,,2009,2010,2011,2012
,Total,50.1,42.9,47.2,60.4,,28.9,25.1,26.2,34.2
Serious violent crime,,15.6,17.9,21.4,22.2,,9,9.7,11.4,13.1
,Rape/sexual assault,1.7,1.7,2.7,3.6,,1.3,1,1.7,2.3
,Robbery,7.2,7.6,8.2,8.6,,3.9,4.1,4.1,5.1
,Aggravated assault,6.6,8.6,10.5,10,,3.8,4.7,5.6,5.8
Simple assault,,34.5,25,25.8,38.2,,19.9,15.4,14.8,21.1
Note: Based on the noninstitutionalized U.S. residential population age 12 or older. Estimates were based on 2-year rolling averages. Rates were adjusted using direct standardization with the 2000 U.S. Standard Population. See Methodology. See appendix table 3 for standard errors.,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Crime Victimization Survey, 2008–2012; and U.S. Census Bureau, 2000 Standard Population and the American Community Survey, 2008–2012.",,,,,,,,,,
